Alvin Larkins Park,"Alvin Larkins Park provides a place of respite for the neighbors and merchants in the nearby Madrona business area. Seattle Parks and Recreation bought the land for the park, located at the corner of E Pike St. and 34th Ave. E in Madrona, in 1973 and developed it in 1975. It features benches set along a path that winds through the park; it is landscaped with maple, pine and fir trees, and has an expanse of lawn that's perfect for tossing a Frisbee or a ball. In spring the cherry trees provide a pop of pink. This popular neighborhood gathering place hosts picnics, barbecues, music and other events."
Amy Yee Tennis Center Park,"Amy Yee Tennis Center offers 10 indoor courts, 6 outdoor courts and a wide array of programs."
Andover Place,"Andover Place is a narrow path between buildings, providing public access to the beach. Tree trunks washed up on the beach make excellent spots to sit and enjoy the view."
Arroyos Natural Area,Arroyos Natural Area is a 7.5 acre undeveloped area in a quiet neighborhood with great views of Puget Sound.
Atlantic City Boat Ramp,"Atlantic City Boat Ramp is one of Seattle Parks and Recreation's launching sites for power boats. Located in a protected cove along Seward Park Avenue south of Beer Sheva Park at the intersection of S Henderson St., Atlantic City is the southernmost Seattle boat ramp on Lake Washington."
Atlantic Street Park,"Atlantic Street Park is the possible birthplace of ""Princess Angeline"", daughter of Chief Seattle. A log cabin that once stood about 100ft from the corner of the park where her birthplace may have been. This park is now a great neighborhood playground along the I-90 interstate corridor with seating, playground equipment, adult fitness equipment, paths, and respite."
B.F. Day Playground,"B.F. Day Playground is adjacent to B.F. Day Elementary School in Fremont, at the corner of Fremont Avenue N and N 41st Street. The park has a children's play area that is accessible to youngsters with disabilities and comes complete with a slide, climbing features, baby swings, a whirl, and a bouncy-spring toy!"
Bagley Viewpoint,"Bagley Viewpoint is one of our many fine viewpoints that overlook the SR 520 floating bridge, Lake Washington, Bellevue, and beyond. The UW stadium is also visible from here, and with its easy-to-access parking lot, makes for the perfect spot to spend your lunch hour."
Baker Park on Crown Hill,"Baker Park has a small ""natural play"" area - no play equipment, only wood chips and two large rocks - with a pedestrian path that meanders through it, and a Totem Pole made from a monkey puzzle tree. There are two picnic tables."
Ballard Commons Park,"Ballard Commons Park features a skate bowl, water feature, engaging public art, relaxing seating areas and lawns and ADA accessible walkways. The park forms part of a new municipal center in Ballard, with a Seattle Public Library branch and Neighborhood Service Center."
Ballard Corners Park,"This cool, small neighborhood park includes a bike rack, walking path, a bench, cement couches (like a living room!), abstract jungle-gym, and interpretive park entryway."
Ballard Playground,Ballard Playfield is adjacent to Ballard Community Center and Adams Elementary School. It is a multi-purpose playfield featuring a children's play area and a soccer/baseball/softball field.
Bar-S Playground,"The Bar-S ""Little League"" Playground in West Seattle features two grass youth baseball fields."
Bayview Playground,"Bayview Playground features a grass baseball field, basketball hoops, a children's play area, and restrooms."
Bayview-Kinnear (Lower Kerry Park),"Often called Lower Kerry Park, this part of the park is below the famous viewpoint. A fun place to frolic, it offers a large lawn area, landscaping, paths, neighborhood gathering area and children's play equipment. Franklin Place, across the street from Bayview-Kinnear to the southeast, is also part of Kerry Park property."
Beacon Hill Playfield,"Beacon Hill Playfield, a neighborhood park next to Beacon Hill Elementary School, features ADA-accessible basketball hoops and a children's play area, picnic tables, accessible restrooms, a soccer and softball field, accessible tennis courts and an accessible wading pool."
Beacon Place,"Originally donated by Edward F. Wittler (1851-1917), a prominent business man and real estate developer, this park is undeveloped open space on Dearborn Street between the I-5 and Jose Rizal Bridge underpasses."
Beer Sheva Park,"The perfect place to visit on a summer day, Beer Sheva Park is located in southeast Seattle. The view across Lake Washington to Mercer Island and the Cascade Mountains is incomparable. This spot is popular for picnics, community gatherings, yoga classes and more."
Bell Street Park,"Bell Street Park is a park-like corridor through the heart of Belltown. The four block park has one lane of traffic and boasts improved landscaping, better lighting, and more open space. The continuous level pavement encourages pedestrians, cyclists, and automobiles to share the space."
Bellevue Place,"Bellevue Place is small grassy slope overlooking Lake Union across I-5. A short bike path runs through along bottom of the hill, connecting Melrose Ave E to a bridge over the highway to Eastlake Avenue."
Belltown Cottage Park,"Belltown Cottage Park is adjacent to the Belltown P-Patch. The three historic cottages in the park formerly hosted writers from the Richard Hugo House's Writers-in-Residence program, however currently there are only 2 writers that remain while the City explores options for maintaining the Park as a Seattle historic site. In the meantime, the open spaces of the park are being maintained completely by the community."
Belmont Place,"Named for an adjacent street, this mini-park is among a group of small plots donated by Seattle city founders David Thomas Denny (1832-1903) and Louisa Boren Denny (1827-1916)."
Belvedere Park,"This park has a stunning view across Elliott Bay to downtown Seattle, and on clear days to the Cascade Mountains and Mt. Rainier. Divided into two parts on the east and west sides of Admiral Way, the east section features a totem pole depicting stylized beavers, fish and frogs. Belvedere Viewpoint is a popular spot for scenic photos and as a backdrop for wedding and other ceremonial photos."
Belvoir Place,Belvoir Place is a small waterfront park located at 42nd Avenue NE near Surber Drive NE in Laurelhurst. This small park overlooks Union Bay.
Benefit Playground,"Benefit Playground is located at 38th Avenue S and S Benefit Street. Developed in 1982, the park features basketball hoops, benches, landscaping, pathways, a picnic shelter, skatedot and a children's play area."
Benvenuto Viewpoint,Benvenuto Viewpoint is a small space that overlooks the highway and features views of the city.
Bergen Place,"Bergen Place Park in downtown Ballard is located in the heart of the business district on the triangular site between Leary Avenue, 22nd Avenue NW, and Market Street. Benches and trees line the open square. The park is home to Artist Jenn Lee Dixon's ""Witness Trees"" and a community information kiosk. Bergen Place was named for Bergen, Norway, one of Seattle's International Sister Cities."
Bhy Kracke Park,"Featuring one of the best views in the city, this unusual park is neatly sandwiched into a steep residential area and makes ingenious use of a ""difficult"" space. From the sloping hillside you have a great view of downtown, Lake Union, the I-5 freeway and Capitol Hill. The park is furnished with benches, a bike rack and a drinking fountain in case you want to stay and gaze a while. It’s a great place to watch the July 4th fireworks. From the upper part of the park, you can walk down the steep, ivied hill - passing azaleas, rhododendrons, and more surprise views - to a patch of grass with a play area for kids and a pergola for parents. Plan on a visit to this one-of-a-kind oasis in the heart of the city next time you visit the Queen Anne neighborhood. The view even inspired a song!"
Bitter Lake Playfield,"Bitter Lake Playfield is a fun neighborhood park that features lighted tennis courts, lighted ball fields, and a wading pool, whirl, and play structure."
Bitter Lake Reservoir Open Space,"A simple neighborhood park, Bitter Lake reservoir is a great place for the community to gather and play. A fence encircles the reservoir itself, so access is limited, but for simple purposes this park has what you need."
Blaine Place,This is a street triangle and was given to the city by founders David Thomas Denny and Louisa Boren Denny in 1886.
Blue Dog Pond,"Blue Dog Pond in Southeast Seattle near I-90 is .3 acres and is a wide, rectangular field perfect for throwing balls with grassy side slopes that your dog can run up and down. There are interesting art sculptures throughout the park that make it unique, including a giant reposing “blue dog” at the entrance. As a catchment area for excess water, it can get muddy during the rainy season. It is fully fenced and has running water."
Blue Ridge Circle,This is a small traffic circle. The plots for Blue Ridge Place and Circle were dedicated in 1930 by Blue Ridge Land Co.: A.N. Graves and D.R. Drew. The plots were purchased in 1935 by W.E. Boeing (of Boeing Aircraft Co.) and his wife. They then transferred jurisdiction in 1954 to the city.
Blue Ridge Places,These are two small parcels of land on a winding part of the street. The plots for Blue Ridge Place and Circle were dedicated in 1930 by Blue Ridge Land Co.: A.N. Graves and D.R. Drew. The plots were purchased in 1935 by W.E. Boeing (of Boeing Aircraft Co.) and his wife. They then transferred jurisdiction in 1954 to the city.
Boren Park,"Louisa Boren Park is a stunning scenic viewpoint lined with benches, with a panorama of Lake Washington and the Cascades. A jogging path runs through the park, and a sculpture sits in the shelter of tall trees."
Boren Place,"This little space is a street triangle named for adjacent Boren Avenue. Donated to city for use as a fire station in 1890, but transferred to Park Department jurisdiction in 1912."
Boylston Place,"Donated by Mary Denny in 1902, this pocket park is a street triangle named for adjacent Boylston Avenue. Located at Broadway & Boylston Ave and maintained by SDOT, this space contains benches and plantings, providing a perfect place to wait for the streetcar or bus."
Bradner Gardens Park,"Winding paths connect the many features of Bradner Gardens Park. Stroll past seven ornamental theme gardens of the Master Gardener border: butterfly & hummingbird, fragrance, sensory, shade, xeriscape, winter interest and northwest native. Watch the bees buzz the 61 p-patch plots. Learn the alphabet under the watchful eye of the baby scarecrow in the children's A to Z garden. Learn how to grow food crops in the Seattle Tilth and Urban Food demonstration gardens. Watch birds take shelter in the native plant habitat. See more than 50 varieties of ornamental street trees recommended for small spaces and under utility lines."
Brighton Playfield,"Brighton Playfield, located next to Aki Kurose Middle School, includes ballfields, tennis courts, and a children's play area."
Broadway Hill Park,"The community-initiated park is a ""front porch"" and a public yard for the neighborhood. It features a large lawn area, varied seating and tables at the top of the site, BBQ, a community garden, and landscaped planting, as well as opportunities for natural play and artwork. The community garden will be operated as part of the P-patch program."
Bryant Neighborhood Playground,"Bryant Neighborhood Playground is a charming park with a small slope located along NE 65th Street. The playground is appropriate for children of all ages offering climbers, decks and platforms, ladders, a pipe barrier, slides, a spring toy, swings, a track ride, a transfer station, and a whirl. This park also has basketball hoops, two fenced tennis courts, and large open spaces perfect for playing."
Burke-Gilman Playground Park,"This park features jogging trails, a playground with slides, monkey bars, swings, a whirl, baby swings, and climbing features. It also has a cool sundial, bathroom facilities, benches to rest your weary legs, and lawn areas to stretch out on a warm day or play catch with your friends."
Burke-Gilman Trail,"The Burke-Gilman Trail is a popular recreational trail for walkers, runners, cyclists, skaters and commuters. The trail is jointly maintained by Seattle Department of Transportation and Seattle Parks and Recreation."
Cal Anderson Park,"Cal Anderson is located in Seattle's Capitol Hill neighborhood and is the hub of the community. Cal Anderson Park includes a fountain, texture pool and reflecting pool, promenade paths, landscaping, a shelterhouse, a plaza, a children's play area, a wading pool, a lighted sports field, and a number of oversize chess boards. This open park invites walking, sitting, reading, contemplation, informal sports in the meadow, and organized sports on the athletic field."
California Place,"Sometimes called the Ferry & Hill Street Triangle, this space was once the terminus of a street car line from Spokane Street. It is named for adjacent California Ave SW and is located at the intersection of California Ave SW and SW Hill St."
Camp Long,"Located in West Seattle, this 68 acre park offers visitors an opportunity to enjoy nature, hike in the forest, camp overnight in rustic cabins, rock climb, and learn about natural history. Rental facilities include a lodge with one meeting room, kitchen space, 10 cabins, two covered picnic areas, group fire ring, and climbing rock."
Carkeek Park,"This popular park offers extraordinary views of Puget Sound and the Olympic Mountains. Here, 220 acres of lush forest, meadows, wetlands, creeks, and beach are formed by the magic of water and time. Take part in an education program, have a picnic, or get involved as a volunteer. Or, walk the Pipers Canyon Story Trail, play on the uniquely salmon-themed play area, and touch time at the historic Piper Orchard."
Carleton Center,This small park is a street triangle with grass and benches.
Carleton Highlands,This is one of our many natural areas and green spaces in our city.
Cascade Place,This turnaround island at the end of Palmer Court NW is in Ballard just west of NW Market St at NW 52nd St.
Cascade Playground,"A neighborhood park, Cascade Playground has two play areas, a wide field, a picnic table and restrooms. The park is adjacent to an active community p-patch."
Cayton Corner Park,This park is under construction
Cedar Park,"This neighborhood park offers parking, a sanded play area with swings, a play structure, some basketball courts, and a walking path that follows the outline of an oval-shaped lawn."
Cesar Chavez Park,"Cesar Chavez Park in the South Park neighborhood features an interactive ""Musical Steles"" sculpture by Jesus Bautista Moroles."
Charles Richey Sr Viewpoint,"Richey Viewpoint runs parallel to Beach Drive SW roughly from Alki Point to 63rd Ave. SW, and includes Constellation Park and an area of Marine Reserve at the end of 63rd Ave. SW. There is a hand-carry boat ramp near the foot of the western stairway."
Cheasty Boulevard,"Originally the entrance to Jefferson Park and so named Jefferson Blvd., it was renamed in 1914 by the Park Board to honor one of its members, E.C. Cheasty because of his efforts toward the establishment of a boulevard system in Seattle after studying European systems, and because he was the “father” of the golf course to which the boulevard leads. Cheasty was a clothier of excellent reputation and noted for civic and club activities, Police Commissioner, and AYP Expos Commissioner."
Cheasty Natural Area,"Named for Park Board member Edward C. Cheasty (1864-1914), this space is one of our city's natural areas."
Cheshiahud Lake Union Loop,"The City and the Seattle Parks Foundation created a multi-use loop around Lake Union. The vision is to invite community use and enjoyment of Lake Union; providing a loop that connects people to open space – connecting us to new and existing lakefront parks, celebrating the lake’s historic working waterfront, and revealing the unique character and quality of the lake itself."
Chinook Beach Park,"Chinook Beach Park features a small beach area complete with driftwood and logs that have washed up along the shore. There is also a simple, long walking path along the beach, which offers spectacular views of Lake Washington and the Cascades beyond. A small concrete landing provides a good platform for a picnic or camera tripod, as well as an interpretive sign that gives some background information on the area."
Christie Park,"Formerly NE 43rd St. Mini Park, this park was renamed in May of 1981. This tiny neighborhood park offers grassy areas to picnic on sunny days, as well as drinking fountains and public artwork, with half-court basketball and a bench."
City Hall Park,"Bordering on the south side of the King County Public Safety Building, this former battlefield is now a small walking and sitting space filled with grass, trees, benches, small tables, and chairs. A small oak here commemorates the founding of the United Nations, and a plaque with cannonball recalls the 1865 Battle of Seattle, when Indians led by Chief Leschi attacked the pioneer village in a last effort to save their land."
Cleveland Playfield,"Cleveland playfield's facilities include a football field, a 1/4 mile track, tennis courts, handball courts, shotput, and pole vault."
Coe Play Park,"This small park in Queen Anne may be lacking in sprawl, but makes up for it in fun! The park offers a sanded play area complete with play structure and slide, along with an adjacent paved area that hosts basketball courts and outlines to play many games like 4-square. This park is located on the campus of Coe Elementary School, which can be found here: http://www.coeschool.org/"
College Street Park,"This simple park offers a small piece of grass, a play area, and a water fountain. Despite its simplicity, it has become a favorite picnic spot for the residents of the surrounding community."
College Street Ravine,"Also known as Duwamish Head Greenspace, this property is a natural area."
Colman Park,"Colman Park is located just south of the old Lake Washington Floating Bridge. The beach itself is adjacent to Mount Baker Bathing Beach, but is a part of Colman Park. The beach features grass, big drooping willows, and picnic tables. If you've brought along your Frisbee, football, soccer ball, or volleyball, the grass to the north makes a friendly playing ground."
Colman Playground,"The old Colman School provides a backdrop to the carefully maintained Colman Playfield. The Children's PlayGarden is under construction south of the ADA accessible basketball court. With the bike trail running along the edge of the playfield, and picnic tables tucked in the shade across the trail, Colman playfield is an easy place to get to and a great place to exercise and relax."
Columbia Park,"Along busy Rainier Avenue, Columbia Park offers open grass and two magnificent maple trees beside the Columbia Branch of the Seattle Public Library. This park serves as a buffer against the traffic, and provides a great place to pore over newly borrowed books. The park was annexed to the city in 1907."
Commodore Park,"Following the pathways down the hillside will afford the visitor with great views of the Lake Washington Ship Canal, where foaming water flows through the spillways and ships can be observed traversing the government locks. There is the opportunity for a short, comfortable walk along the promenade, where one can take advantage of park benches and cozy shelters, before reaching the canal itself, where the fish ladder is clearly visible."
Corliss Place,"Named by real estate developer William D. Wood (1858-1917) in honor of Corliss P. Stone (1838-1906), Seattle's third mayor. Stone was active in the development of residential property, platting the neighborhoods of Wallingford and Fremont. This park is a small triangle."
Cormorant Cove,"Named for cormorant birds that can be seen in the area, this small water access space has a boat access for hand-carried non-motorized boats. The upper part has accessible viewing platforms, one with a mosaic and a route down to the beach."
Cottage Grove Park,"Located in the Delridge area, is part of three parks known collectively as the Delridge Parks. Together with Puget Boulevard Commons and Greg Davis Park, Cottage Grove Park creates a large area of open space/park land that includes passive and active recreational elements."
Counterbalance Park,"The Counterbalance Park is relatively level, 12,000 square feet, and named for the former trolley that ran there. A variety of neighborhood residential and commercial buildings are visible from the site. Queen Anne Avenue North and Roy Street are both heavily traveled arterials. Traffic signals and crosswalks allow pedestrian access to the site. Be sure to stop by for the evening light show!"
Cowen Park,"A generally quiet enclave north of the University of Washington, Cowen Park is tacked onto the west end of Ravenna Park, adding grassy play and picnic areas to the ravine that descends toward the southeast. Here you will find a softball field, a few picnic tables and barbecue pits, a play area with swings and climbing bars, and restrooms. Three tennis courts are located just east of the 15th Avenue Bridge. In the summer, Cowen is a popular sunbathing spot."
Crescent Place,"This small circle, near Green Lake, is a turn around at the end of Orin Ct N, just after it crosses N 75th St"
Crown Hill Glen,"Located in the Crown Hill neighborhood, has many trees and native plants, boulder seating areas, and a winding nature path. It is a quiet spot at the convergence of two street ends, connected by a staircase."
Crown Hill Park,"This park, located at Holman Road NW and 13th Avenue NW, includes ballfield renovations, walkways, entries, open space, areas for play, seating, plantings and a skate dot (small park). It is located on property purchased from the Seattle Public Schools. This 1.71-acre acquisition fulfills one of Crown Hill’s longstanding community goals in its neighborhood plan."
Daejeon Park,"Adjacent to Sturgus Park, Daejeon Park is named for Seattle's sister city in Korea. It features Korean style pagoda and open space."
Dahl Playfield,"Originally called the Ravenna Swamp and then the 80th Street Playground. It was renamed Dahl Playfield in 1955 to honor Waldo J. ""Red"" Dahl (1902-1988), who was a member and occasional president of the Board of Park Commissioners for various years between 1934 and 1968."
Dakota Place Park,"Dakota Place Park is located in West Seattle within walking distance of many shops, restaurants and activities along California Avenue."
David Rodgers Park,"This beautiful park, built on a steeply sculptured hillside, is in the upper portion of 1st Avenue W. Here you will find a play area, three tennis courts and public restrooms. Follow the paths that wind down grass-covered knobs and knolls to the Queen Anne Bowl and North Queen Anne Elementary School."
Day Street Boat Ramp,"Named for S. Day St, which ends at Lake Washington at this park, this is a hand carry boat launch area."
Dearborn Park,"This park sits on Beacon Hill just north of the Dearborn Park Elementary School and just east of a clovered, dandelioned swath of grass towering with City Light's power lines. Area children have been at work carving out trails through the leafy wilds here, while bike trails provide evidence of some more uses for the park. Two graveled and lighted pathways extend through the park, while a play area and softball field wait nearby."
Delridge and Myrtle Park,Delridge and Myrle Park is an undeveloped greenspace at the intersection of Myrtle Street and Delridge Way Southwest.
Delridge Playfield,"The playfield is adjacent to Delridge Community Center and features large open lawn spaces perfect for playing catch or flying a kite, big trees, and a playground for the kids."
Denny Blaine Lake Park,"Denny Blaine Lake Park is a pocket park offers a small lake and a ""train station"" type shelter. This is one of five small parks in the area donated by the Denny-Blaine Land Company, a real estate development company. The parks are Minerva Fountain (commonly known as Denny-Blaine Lake Park), Stevens Park, Viretta Park, Children's Park (now Howell Park), and Whitman Place (now Denny-Blaine Park)."
Denny Park,"A peaceful green island in a sea of traffic, Denny Park lies on the central business district's northern fringe, and is surrounded by major thoroughfares. Broad pathways planted with rhododendrons and azaleas lead to a central circle surrounded by thick crowned maples, pines, and other trees shield the grass and its sprawling occupants from city noises until it's time to return to the working world. The central offices of the Parks Department are at the west end of the park."
Denny Blaine Park,"The grassy unlifeguarded beach is surrounded by an old stone wall, which marked the shoreline before 1917, when the lake level was lowered nine feet by the construction of the Lake Washington Ship Canal. There is enough room for a volleyball net above and quiet picnics and sunbathing below.(Excerpt from Enjoying Seattle's Parks by Brandt Morgan)"
Discovery Park,"Discovery Park is a 534 acre natural area park operated by the Seattle Parks and Recreation. It is the largest city park in Seattle, and occupies most of the former Fort Lawton site. The site is one of breathtaking majesty. Situated on Magnolia Bluff overlooking Puget Sound, Discovery Park offers spectacular view of both the Cascade and the Olympic Mountain ranges. The secluded site includes two miles of protected tidal beaches as well as open meadow lands, dramatic sea cliffs, forest groves, active sand dunes, thickets and streams."
Dr. Blanche Lavizzo Park,"Dr. Blanche Lavizzo Park is a narrow park that connects S Jackson St. and E Yesler Way. Its many oak, poplar, and other shade trees give the park a sense of seclusion even though there are houses and apartments on its east and west sides. The park also features a large grassy area with picnic tables and grills, a picnic shelter with fireplace, a long shelter house, a bricked open area with benches, and a small amphitheater used for free summertime concerts and plays."
Dr. Jose Rizal Park,"On the west side of Beacon Hill, Dr. Jose Rizal Park has an amazing view of south Downtown and Elliott Bay. The park has a dog off-leash area at its north end, and picnic tables, restrooms, and a small play area for children to the south."
Don Armeni Boat Ramp,"Located on Harbor Avenue and Maryland Street south of the Duwamish Head, Don Armeni is the most popular of Seattle's saltwater boat ramps. Don Armeni's close proximity to many favorite fishing spots on the south end of Marine Area 10 and the other south Marine Areas makes it a popular ramp for fishers during salmon season. Another attraction is the view. From across Elliott Bay the Seattle waterfront looks spectacular, making Don Armeni a popular spot for ceremonies, photographers, and sightseers."
Donnie Chin International Childrens Park,"This park is a fun spot for play in the middle of the busy Chinatown neighborhood. In the center of the park, grass and sand form the yin-yang symbol. A bronze dragon sculpture created by artist Gerard Tsutakawa sits in the middle of this area. The sculpture is used as play equipment by children who frequent the park."
Duwamish Waterway Park,"Quiet and secluded on the banks of the Duwamish waterway, this park offers benches and a large lawn area, complete with big trees for shade, a BBQ pit and picnic tables, and to top it off you can find views of ships using the waterway too."
Fritz Hedges Waterway Park,"This park in development in Portage Bay has now been named Fritz Hedges Waterway Park. The park will include historical elements, water access for people and hand-carried boats, shoreline restoration, open lawn space for passive recreation, and opportunities for interpretation and education."
E.C. Hughes Playground,"E.C. Hughes playground includes ballfields, a children's play area, and a view of Mount Rainier to the south."
East Duwamish Greenbelt,"Located along the I-5 corridor on Beacon Hill, the East Duwamish Greenbelt is a series of parcels that form a natural area."
East Montlake Park,"The starting point for miles of waterfront trails that segue into the Arboretum, this park features the former site of MOHAI, and is just across the Montlake cut from Huskies stadium. It has a totem pole, large observation deck, benches, and floating paths, as well as a trail that connects to W. Montlake Park."
East Portal Viewpoint,"This is a really great little viewpoint right over the east portal of the I-90 bridge. It offers complete views of downtown Bellevue and the Cascades. The park itself provides benches and walking paths, and links up with another trail."
East Queen Anne Playground,"This nice neighborhood park offers a playground with slides, climbing features, a whirl, regular and baby swings, and a wading pool. Conveniently there are also bathroom facilities, a soccer field, and a sandbox. There are also lots of comfortable benches for parents to keep an eye on the kids from."
Eastmont Place,"Named for an adjacent street, this pocket park is a street triangle with grass and a tetherball tied to a street sign."
Eddie Vine Boat Ramp,"Eddie Vine is Seattle's northernmost saltwater boat ramp lying between Golden Gardens park and the Shilshole Marina. Located in Ballard on the north end of Marine Area 10, Eddie Vine is the closest water access to the northern Marine Areas and Marine Area 12. Eddie Vine is a favorite ramp for many northwest anglers because it is protected by the continuation of Shilshole Marina's breakwater and it is close to popular fishing locations."
Ella Bailey Park,"This park is the former playground for the adjacent former Magnolia Elementary School. Seattle Parks and Recreation - in partnership with neighbors - renovated the space into a beautiful community playground with gently rolling slopes, play equipment, picnic tables, barbeques and walking pathways. With its panoramic views of Mt. Rainier and downtown Seattle, the park is one now of the most popular destinations for viewing Fourth of July and New Year's Eve fireworks."
Emma Schmitz Memorial Overlook,"One of Seattle's stunning viewpoints, Emma Schmitz Overlook is a great place to stroll, jog, or sit and gaze across the water at the Olympic Mountains."
Endolyne Park,"Presumably named after the Endolyne plat in which it is situated, ""Endolyne"" is purported to be a nickname of the Fauntleroy neighborhood, for its once being the end of the trolley line. This park is a greenspace."
Ercolini Park,"Named for Joe (1891-1984) and Julia (1894-1979) Ercolini, who sold produce grown at this site for several decades beginning in the 1930s, this park is a playground with a small lawn in a neighborhood spot."
Fairmount Playground,Fairmount Playfield is next to Fairmount Park Elementary School. It has a Jr. soccer and softball field. The shelter house is decorated with a Native American mural painted by local teens.
Fairview Park,"One highlight of Fairview Park is its great water view from the upper level on Eastlake Avenue E. The park also includes the relocation and expansion of an existing P-Patch, a timber and steel framed stair connecting Eastlake Avenue East and Fairview Avenue East, log and stone benches, picnic tables, bike rack, extensive revegetation with native plants, shrubs and trees; and construction of a deck/overlook, gangway, and small boat hand launch."
Fairview Walkway,"Located along a floating walkway by Lake Union alongside Fairview Ave E across from the old steam plant, this is a small green space."
Fauntleroy Creek Ravine,This park is a small natural area.
Fauntleroy Park,"A densely wooded patch of forest in West Seattle, Fauntleroy Park has a network of trails and paths great for wandering, hiking and dog-walking. Recent and ongoing volunteer work parties, organized through the Trails Program, have been improving the trails."
Fauntleroy Place,This space is a large street triangle with nine trees and a bench named for adjacent Fauntleroy Way SW.
Ferdinand Street Boat Launch,This is a small hand carry boat launch site.
Firehouse Mini Park,"This double-decker tree house with fire pole is the favorite in this tiny park, but there are other things packed in here too: a boxed-in play area, drinking fountain, benches, and a whirl. This park's small trees also make it a good cooling off place for pedestrians overheated by walking among large buildings."
First Hill Park,"The Seattle Park was completed in the fall of 1978, and ever since has provided people living and working in the neighborhood with a place to make good use of its few benches, flowers, and blades of grass. Brickwork pathways take the visitor past benches, picnic tables, a water fountain, and offers a view down the hill toward downtown Seattle."
Fletcher Place,"This small property is a street triangle, named for the adjacent street. It contains a memorial marker dedicated to Rainier Beach residents who lost their lives in World War II."
Flo Ware Park,"Flo Ware is a small park with a children's play area, benches, and lawn space for sunning. It's a great neighborhood park for letting the kids run off extra energy while parents watch from a patch of sunny grass or from under a shady tree."
Freeway Park,"Located between 6th and 9th Avenues, Freeway Park is bounded on the north by Union and on the south by Spring Street. To the east is First Hill, to the west the park overlooks Seattle's financial center. Freeway Park provides a space where residents, shoppers, downtown office workers, hotel visitors and the whole array of people from all backgrounds who make up the downtown population may come together to enjoy the social elements of a city park."
Fremont Canal Park,"Fremont Canal Park is a quiet linear park along the north side of the Lake Washington Ship Canal, located from approximately Phinney Ave N to 3rd Ave NW. It is adjacent to the Burke Gilman Trail, and features a pedestrian trail and benches to sit on and gaze at the water. It also includes an ADA accessible viewing platform and shelter at the water's edge at 2nd Ave NW and NW Canal St. The park provides a community gathering space, notably for the annual Fremont Fair, which is celebrated in June and draws more than 100,000 participants."
Fremont Peak Park,"Fremont Peak Park, a half-acre in size, is located on a west-facing bluff in upper Fremont with unobstructed views of Puget Sound and the Olympic Mountains. This park features a sculpture that marks the solstices and equinoxes."
Frink Park,"Primarily used as a natural woods drive, Frink Park is a densely vegetated ravine. South Frink Place winds through the park and opens onto Lake Washington Boulevard."
Froula Playground,"This playground features baby swings, tennis courts, long lawn area perfect for catch, as well as slides and climbing features."
Garfield Playfield,"Garfield Playfield shares its campus with Garfield Community Center and Medgar Evers Pool. It features a playground, tennis courts, football field, track, restrooms, and other sports fields."
