Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Demographics,Total Population (People),2012,Both,All,637516.0,"Boston, MA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2507000 was used to isolate data for Boston, MA.",635212.0,639820.0,,
Demographics,Total Population (People),2012,Both,All,3177063.0,"San Diego County, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 06073 was used to isolate data for San Diego County, CA.",,,,
Demographics,Total Population (People),2012,Both,All,1383194.0,"San Antonio, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4865000 was used to isolate data for San Antonio, TX.",1382754.0,1383634.0,,
Demographics,Total Population (People),2012,Both,All,1547607.0,"Philadelphia, PA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",,,,
Demographics,Total Population (People),2012,Both,All,3857786.0,"Los Angeles, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",3857730.0,3857842.0,,
Demographics,Total Population (People),2012,Both,All,825863.0,"San Francisco, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0667000 was used to isolate data for San Francisco, CA.",,,,
Demographics,Total Population (People),2012,Both,All,390923.0,"Cleveland, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",390876.0,390970.0,,
Demographics,Total Population (People),2012,Both,All,2000759.0,"Las Vegas (Clark County), NV","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",,,,
Demographics,Total Population (People),2012,Both,All,1488759.0,"Phoenix, AZ","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0455000 was used to isolate data for Phoenix, AZ.",1488669.0,1488849.0,,
Demographics,Total Population (People),2012,Both,All,392871.0,"Minneapolis, MN","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2743000 was used to isolate data for Minneapolis, MN.",392823.0,392919.0,,
Demographics,Total Population (People),2012,Both,All,464346.0,"Kansas City, MO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2938000 was used to isolate data for Kansas City, MO.",464129.0,464563.0,,
Demographics,Total Population (People),2012,Both,All,467888.0,"Long Beach, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",467843.0,467933.0,,
Demographics,Total Population (People),2012,Both,All,632323.0,"Washington, DC","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 1150000 was used to isolate data for Washington, DC.",,,,
Demographics,Total Population (People),2012,Both,All,982783.0,"San Jose, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",982702.0,982864.0,,
Demographics,Total Population (People),2012,Both,All,313914040.0,"U.S. Total, U.S. Total","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2013,Both,All,1513350.0,"Phoenix, AZ","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0455000 was used to isolate data for Phoenix, AZ.",1513249.0,1513451.0,,
Demographics,Total Population (People),2013,Both,All,400079.0,"Minneapolis, MN","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2743000 was used to isolate data for Minneapolis, MN.",400029.0,400129.0,,
Demographics,Total Population (People),2013,Both,All,8405837.0,"New York City, NY","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3651000 was used to isolate data for New York City, NY.",,,,
Demographics,Total Population (People),2013,Both,All,1409000.0,"San Antonio, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4865000 was used to isolate data for San Antonio, TX.",1408913.0,1409087.0,,
Demographics,Total Population (People),2013,Both,All,406228.0,"Oakland (Alameda County), CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",406125.0,406331.0,,
Demographics,Total Population (People),2013,Both,All,316128839.0,"U.S. Total, U.S. Total","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2013,Both,All,1553165.0,"Philadelphia, PA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",,,,
Demographics,Total Population (People),2013,Both,All,390106.0,"Cleveland, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",390064.0,390148.0,,
Demographics,Total Population (People),2013,Both,All,2480331.0,"Dallas, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",,,,
Demographics,Total Population (People),2013,Both,All,646449.0,"Washington, DC","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 1150000 was used to isolate data for Washington, DC.",,,,
Demographics,Total Population (People),2013,Both,All,652429.0,"Seattle, WA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",652332.0,652526.0,,
Demographics,Total Population (People),2013,Both,All,649495.0,"Denver, CO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0820000 was used to isolate data for Denver, CO.",,,,
Demographics,Total Population (People),2013,Both,All,688740.0,"Detroit, MI","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2622000 was used to isolate data for Detroit, MI.",688670.0,688810.0,,
Demographics,Total Population (People),2013,Both,All,644710.0,"Boston, MA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2507000 was used to isolate data for Boston, MA.",640938.0,648482.0,,
Demographics,Total Population (People),2013,Both,All,1911541.0,"Fort Worth (Tarrant County), TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48439 was used to isolate data for Fort Worth (Tarrant County), TX.",,,,
Demographics,Total Population (People),2013,Both,All,998514.0,"San Jose, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",998406.0,998622.0,,
Demographics,Total Population (People),2013,Both,All,2197374.0,"Houston, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4835000 was used to isolate data for Houston, TX.",2194509.0,2200239.0,,
Demographics,Total Population (People),2013,Both,All,467082.0,"Kansas City, MO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2938000 was used to isolate data for Kansas City, MO.",466866.0,467298.0,,
Demographics,Total Population (People),2013,Both,All,837442.0,"San Francisco, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0667000 was used to isolate data for San Francisco, CA.",,,,
Demographics,Total Population (People),2013,Both,All,2027868.0,"Las Vegas (Clark County), NV","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",,,,
Demographics,Total Population (People),2013,Both,All,622104.0,"Baltimore, MD","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2404000 was used to isolate data for Baltimore, MD.",,,,
Demographics,Total Population (People),2013,Both,All,469384.0,"Long Beach, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",469241.0,469527.0,,
Demographics,Total Population (People),2013,Both,All,3884340.0,"Los Angeles, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",3884198.0,3884482.0,,
Demographics,Total Population (People),2013,Both,All,3211252.0,"San Diego County, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 06073 was used to isolate data for San Diego County, CA.",,,,
Demographics,Total Population (People),2013,Both,All,2617176.0,"Miami (Miami-Dade County), FL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 12086 was used to isolate data for Miami (Miami-Dade County), FL.",,,,
Demographics,Total Population (People),2013,Both,All,2718789.0,"Chicago, IL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"Place=Chicago was used to isolate American Community Survey data for Chicago, IL on American Factfinder.",2718737.0,2718841.0,,
Demographics,Total Population (People),2014,Both,All,658893.0,"Washington, DC","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 1150000 was used to isolate data for Washington, DC.",,,,
Demographics,Total Population (People),2014,Both,All,389524.0,"Cleveland, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",389486.0,389562.0,,
Demographics,Total Population (People),2014,Both,All,934243.0,"Indianapolis (Marion County), IN","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2014,Both,All,776712.0,"Portland (Multnomah County), OR","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 41051 was used to isolate data for Portland (Multnomah County), OR.",,,,
Demographics,Total Population (People),2014,Both,All,852469.0,"San Francisco, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0667000 was used to isolate data for San Francisco, CA.",,,,
Demographics,Total Population (People),2014,Both,All,1537045.0,"Phoenix, AZ","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0455000 was used to isolate data for Phoenix, AZ.",1536946.0,1537144.0,,
Demographics,Total Population (People),2014,Both,All,407181.0,"Minneapolis, MN","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2743000 was used to isolate data for Minneapolis, MN.",407086.0,407276.0,,
Demographics,Total Population (People),2014,Both,All,470816.0,"Kansas City, MO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2938000 was used to isolate data for Kansas City, MO.",470616.0,471016.0,,
Demographics,Total Population (People),2014,Both,All,1012539.0,"Charlotte, NC","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2014,Both,All,3928827.0,"Los Angeles, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",3928733.0,3928921.0,,
Demographics,Total Population (People),2014,Both,All,1151145.0,"Austin, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2014,Both,All,1436723.0,"San Antonio, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4865000 was used to isolate data for San Antonio, TX.",1436539.0,1436907.0,,
Demographics,Total Population (People),2014,Both,All,2069681.0,"Las Vegas (Clark County), NV","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",,,,
Demographics,Total Population (People),2014,Both,All,2662874.0,"Miami (Miami-Dade County), FL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 12086 was used to isolate data for Miami (Miami-Dade County), FL.",,,,
Demographics,Total Population (People),2014,Both,All,1560297.0,"Philadelphia, PA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",,,,
Demographics,Total Population (People),2014,Both,All,413782.0,"Oakland (Alameda County), CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",413723.0,413841.0,,
Demographics,Total Population (People),2014,Both,All,622793.0,"Baltimore, MD","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2404000 was used to isolate data for Baltimore, MD.",,,,
Demographics,Total Population (People),2014,Both,All,663862.0,"Denver, CO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0820000 was used to isolate data for Denver, CO.",,,,
Demographics,Total Population (People),2014,Both,All,2518638.0,"Dallas, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",,,,
Demographics,Total Population (People),2014,Both,All,2722407.0,"Chicago, IL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"Place=Chicago was used to isolate American Community Survey data for Chicago, IL on American Factfinder.",2722328.0,2722486.0,,
Demographics,Total Population (People),2014,Both,All,680281.0,"Detroit, MI","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2622000 was used to isolate data for Detroit, MI.",680210.0,680352.0,,
Demographics,Total Population (People),2014,Both,All,473605.0,"Long Beach, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",473496.0,473714.0,,
Demographics,Total Population (People),2014,Both,All,1015796.0,"San Jose, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",1015726.0,1015866.0,,
Demographics,Total Population (People),2014,Both,All,668337.0,"Seattle, WA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",668287.0,668387.0,,
Demographics,Total Population (People),2014,Both,All,318857056.0,"U.S. Total, U.S. Total","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2014,Both,All,1945360.0,"Fort Worth (Tarrant County), TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48439 was used to isolate data for Fort Worth (Tarrant County), TX.",,,,
Demographics,Total Population (People),2014,Both,All,656051.0,"Boston, MA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2507000 was used to isolate data for Boston, MA.",653176.0,658926.0,,
Demographics,Total Population (People),2014,Both,All,3263431.0,"San Diego County, CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 06073 was used to isolate data for San Diego County, CA.",,,,
Demographics,Total Population (People),2014,Both,All,1231393.0,"Columbus, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2014,Both,All,8491079.0,"New York City, NY","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3651000 was used to isolate data for New York City, NY.",,,,
Demographics,Total Population (People),2014,Both,All,2240796.0,"Houston, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4835000 was used to isolate data for Houston, TX.",2238157.0,2243435.0,,
Demographics,Total Population (People),2015,Both,All,790294.0,"Portland (Multnomah County), OR","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 41051 was used to isolate data for Portland (Multnomah County), OR.",,,,
Demographics,Total Population (People),2015,Both,All,1176558.0,"Austin, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2015,Both,All,388059.0,"Cleveland, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",,,,
Demographics,Total Population (People),2015,Both,All,621849.0,"Baltimore, MD","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2404000 was used to isolate data for Baltimore, MD.",,,,
Demographics,Total Population (People),2015,Both,All,669469.0,"Boston, MA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2507000 was used to isolate data for Boston, MA.",,,,
Demographics,Total Population (People),2015,Both,All,1034070.0,"Charlotte, NC","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2015,Both,All,2720556.0,"Chicago, IL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"Place=Chicago was used to isolate American Community Survey data for Chicago, IL on American Factfinder.",,,,
Demographics,Total Population (People),2015,Both,All,1251722.0,"Columbus, OH","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,,,,,
Demographics,Total Population (People),2015,Both,All,2553385.0,"Dallas, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",,,,
Demographics,Total Population (People),2015,Both,All,682545.0,"Denver, CO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0820000 was used to isolate data for Denver, CO.",,,,
Demographics,Total Population (People),2015,Both,All,677124.0,"Detroit, MI","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2622000 was used to isolate data for Detroit, MI.",,,,
