Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Social and Economic Factors,Percent Unemployed,2012,Male,All,16.6,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 4260000 was used to isolate data for Philadelphia, PA.",15.4,17.8,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,13.6,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 4260000 was used to isolate data for Philadelphia, PA.",12.5,14.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,10.4,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",9.5,11.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,15.6,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",10.2,21.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,20.1,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",17.4,22.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,21.8,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",20.1,23.5,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,12.7,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",12.2,13.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,American Indian/Alaska Native,20.1,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",12.4,27.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,9.8,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",8.1,11.5,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,18.6,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",16.0,21.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,12.7,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",11.4,14.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,16.9,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",13.6,20.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,Other,6.2,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Native Hawaiian or other Pacific Islander; FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",1.4,11.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,11.7,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",10.9,12.5,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,11.7,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",10.8,12.6,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,12.2,"Las Vegas (Clark County), NV","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 32003 was used to isolate data for Las Vegas (Clark County), NV.",11.4,13.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,10.6,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",8.9,12.3,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,15.3,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 3916000 was used to isolate data for Cleveland, OH.",13.3,17.3,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,20.7,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 3916000 was used to isolate data for Cleveland, OH.",18.7,22.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,1.7,"Washington, DC","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 1150000 was used to isolate data for Washington, DC.",0.5,2.9,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,10.3,"Washington, DC","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 1150000 was used to isolate data for Washington, DC.",9.3,11.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,9.6,"Boston, MA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 2507000 was used to isolate data for Boston, MA.",8.8,10.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,7.3,"Boston, MA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 2507000 was used to isolate data for Boston, MA.",5.2,9.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,15.0,"Boston, MA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 2507000 was used to isolate data for Boston, MA.",12.9,17.1,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,14.7,"Boston, MA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 2507000 was used to isolate data for Boston, MA.",12.1,17.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,5.9,"Seattle, WA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",5.2,6.6,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,11.3,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 4260000 was used to isolate data for Philadelphia, PA.",8.4,14.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,15.9,"Philadelphia, PA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 4260000 was used to isolate data for Philadelphia, PA.",15.1,16.7,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,12.1,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0653000 was used to isolate data for Oakland, CA.",10.6,13.6,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,12.6,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0653000 was used to isolate data for Oakland, CA.",10.8,14.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,6.6,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",5.4,7.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,12.9,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",8.1,17.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,14.9,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",12.5,17.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,21.3,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",18.2,24.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,10.8,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 0653000 was used to isolate data for Oakland, CA.",8.3,13.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,13.0,"Oakland (Alameda County), CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",11.9,14.1,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,12.3,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",11.2,13.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,7.9,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 0643000 was used to isolate data for Long Beach, CA.",5.4,10.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,19.5,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",15.9,23.1,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,14.0,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",12.0,16.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,15.2,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",9.3,21.1,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,8.2,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0643000 was used to isolate data for Long Beach, CA.",6.8,9.6,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,10.7,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0643000 was used to isolate data for Long Beach, CA.",9.1,12.3,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,11.0,"Long Beach, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0643000 was used to isolate data for Long Beach, CA.",9.4,12.6,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,8.7,"San Jose, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0668000 was used to isolate data for San Jose, CA.",7.8,9.6,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,9.9,"San Jose, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0668000 was used to isolate data for San Jose, CA.",8.7,11.1,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,8.0,"San Jose, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",6.8,9.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,10.8,"San Jose, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",7.9,13.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,12.3,"San Jose, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0668000 was used to isolate data for San Jose, CA.",10.8,13.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,8.6,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",8.2,9.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,7.2,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 48113 was used to isolate data for Dallas county, TX.",5.4,9.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,13.4,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",12.2,14.6,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,10.1,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 3651000 was used to isolate data for New York City, NY.",9.8,10.4,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,10.0,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 3651000 was used to isolate data for New York City, NY.",9.6,10.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,6.8,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3651000 was used to isolate data for New York City, NY.",6.4,7.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,13.2,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3651000 was used to isolate data for New York City, NY.",11.5,14.9,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,12.5,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3651000 was used to isolate data for New York City, NY.",12.0,13.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,15.7,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3651000 was used to isolate data for New York City, NY.",15.1,16.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,8.4,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 3651000 was used to isolate data for New York City, NY.",7.8,9.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,American Indian/Alaska Native,23.2,"New York City, NY","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3651000 was used to isolate data for New York City, NY.",17.6,28.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,12.2,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",11.8,12.6,,
Social and Economic Factors,Percent Unemployed,2012,Both,American Indian/Alaska Native,19.0,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",10.8,27.2,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,8.5,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 0644000 was used to isolate data for Los Angeles, CA.",7.5,9.5,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,18.3,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",16.9,19.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,13.3,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",12.7,13.9,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,12.0,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0644000 was used to isolate data for Los Angeles, CA.",11.5,12.5,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,10.9,"Los Angeles, CA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 0644000 was used to isolate data for Los Angeles, CA.",10.4,11.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,7.9,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",7.2,8.6,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,11.6,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",7.9,15.3,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,6.5,"Dallas, TX","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",5.9,7.1,,
